Time,Sample,P1,P2,P3,P4,P5,P6,P7,P8,P9
264,4224,15.8,3.92,2.79,4.28,54.6,0.568,1.34,0.594,10.9
264.0625,4225,14.6,3.87,2.78,4.38,55,0.577,1.59,0.579,11
264.125,4226,17.6,3.91,2.95,4.21,54.6,0.589,1.64,0.56,11
264.1875,4227,17,3.86,3.68,4.06,54.3,0.584,1.28,0.578,11
264.25,4228,14.3,3.93,3.41,4.16,54.6,0.555,1.72,0.584,11
264.3125,4229,15.9,3.91,3.19,4.36,55.2,0.528,1.89,0.569,11
264.375,4230,16.6,3.74,3.32,4.17,54.5,0.574,1.73,0.57,11
264.4375,4231,16.7,3.84,2.67,4.03,54.3,0.647,1.6,0.587,10.9
264.5,4232,17.6,4.18,2.97,4.33,54.6,0.614,1.62,0.567,11
264.5625,4233,17.5,3.96,3.32,4.4,54.3,0.708,1.85,0.571,11
264.625,4234,16.7,3.63,2.83,4.26,54.7,0.649,2.02,0.573,11
264.6875,4235,17.1,3.83,2.83,4.19,54.5,0.514,1.83,0.572,11
264.75,4236,18.3,3.92,2.81,4.14,54.5,0.617,1.55,0.582,11
264.8125,4237,18.5,3.82,2.85,4.35,54.7,0.575,1.56,0.573,11
264.875,4238,17.4,3.77,2.97,4.15,54.8,0.549,1.32,0.577,11
264.9375,4239,19.6,3.86,3.28,4.12,54.6,0.567,1.49,0.574,11
265,4240,20.6,3.93,3.45,4.18,54.6,0.555,1.67,0.569,11
265.0625,4241,17.6,3.94,2.9,4.04,54.5,0.547,1.63,0.567,11
265.125,4242,16.4,3.85,2.8,4.26,54.7,0.55,1.53,0.576,11
265.1875,4243,18.3,3.68,2.99,4.15,54.6,0.544,1.75,0.586,10.9
265.25,4244,17.7,3.87,2.71,4.33,54.4,0.554,2.05,0.573,11
265.3125,4245,16.6,3.82,2.99,4.18,54.6,0.556,2.33,0.57,11
265.375,4246,17.4,3.81,3.31,4.15,54.5,0.552,2.43,0.577,10.9
265.4375,4247,17.5,4.12,2.99,4.37,54.7,0.559,1.85,0.575,10.9
265.5,4248,18.5,3.82,2.96,4.14,54.4,0.556,1.34,0.576,11
265.5625,4249,19.1,3.86,2.68,4.19,54.5,0.543,1.43,0.565,10.9
265.625,4250,17.5,3.94,2.96,4.45,54.8,0.537,1.46,0.565,11
265.6875,4251,14.6,3.91,3.08,4.53,54.5,0.545,1.71,0.583,11
265.75,4252,16.4,3.94,2.66,4.16,54.9,0.551,1.78,0.574,11
265.8125,4253,17.2,3.77,2.72,4.04,54.7,0.546,1.33,0.568,11
265.875,4254,16.8,3.9,2.59,4.38,54.3,0.558,1.4,0.579,11
265.9375,4255,16,3.84,3.01,4.41,54.7,0.551,1.55,0.575,11
266,4256,16.3,3.71,3.19,4.24,54.7,0.536,1.43,0.577,11
266.0625,4257,18,3.88,2.94,4.19,54.4,0.547,1.43,0.567,11
266.125,4258,18.7,4.01,3.33,4.26,54.6,0.548,1.61,0.565,10.9
266.1875,4259,19.4,3.88,3.47,4.29,54.7,0.549,1.73,0.57,10.8
266.25,4260,17.8,3.76,2.81,4.3,54.6,0.545,1.58,0.573,10.9
266.3125,4261,17.1,3.8,2.73,4.15,54.8,0.538,1.52,0.58,10.9
266.375,4262,17,3.96,2.86,4.22,54.7,0.546,1.67,0.575,11
266.4375,4263,15.2,3.86,2.71,4.42,54.3,0.544,1.71,0.575,11
266.5,4264,16.6,3.82,2.95,4.15,54.5,0.553,1.87,0.576,11
266.5625,4265,18.9,3.87,3.16,4.05,54.6,0.539,1.77,0.566,10.9
266.625,4266,16.9,3.9,2.85,4.22,54.5,0.539,1.57,0.565,10.9
266.6875,4267,18.5,3.88,2.37,4.57,54.4,0.559,1.68,0.572,11
266.75,4268,18.5,3.86,2.67,4.45,54.7,0.536,1.65,0.577,10.9
266.8125,4269,18.3,3.75,2.82,3.92,54.9,0.538,1.52,0.577,10.9
266.875,4270,17.5,3.85,2.71,4.16,54.4,0.552,1.29,0.575,11
266.9375,4271,17.2,3.96,3.03,4.39,54.7,0.555,1.43,0.575,11
267,4272,18.5,3.74,2.77,4.13,54.9,0.548,1.72,0.571,10.9
267.0625,4273,17.7,3.97,2.36,4.03,54.6,0.539,1.72,0.573,10.9
267.125,4274,17.5,3.97,2.66,4.18,54.6,0.545,1.57,0.576,10.9
267.1875,4275,18.1,3.72,3.1,4.07,54.3,0.542,1.49,0.576,10.9
267.25,4276,19.5,3.82,2.86,4.27,54.4,0.544,1.46,0.575,11.1
267.3125,4277,17.7,3.82,2.7,4.21,54.5,0.533,1.45,0.579,11
267.375,4278,15.6,3.91,3.15,4.42,54.4,0.538,1.47,0.579,10.9
